"metric","x","value","group","x_unit","unit","definition","fishery","display_name","fishery_name","group_label"
"selectivity",12,1.77978162875866,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",1,2.06115362243856e-09,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",2,0.0651834546090185,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",3,0.593854982634738,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",4,1.55912200094097,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",5,1.60010309932115,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",6,1.56350212893598,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",7,1.55265489310625,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",8,1.54975403785473,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",9,1.54914431137864,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",10,1.54909651116521,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",11,1.54913186746126,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",12,1.54913186746126,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",10,,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",1,0.211431606923222,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",2,1.65473404511716,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",3,2.61419908220736,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",4,0.391834365071152,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",5,0.0602673893998054,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",6,0.0176936133281165,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",7,0.00892566212382855,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",8,0.00633139829761762,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",9,0.00542670144839908,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",10,0.00512236272127602,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",11,0.0050590609530847,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",12,0.0050590609530847,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",11,,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",1,0.0643898856358731,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",2,0.735049363373012,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",3,2.85705207886589,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",4,1.14609572829393,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",5,0.355052074034503,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",6,0.157424916316089,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",7,0.0988392644679573,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",8,0.078009645195753,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",9,0.0700879182798519,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",10,0.0673211373957528,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",11,0.066737751573608,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
"selectivity",12,0.066737751573608,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",12,,"12.TR.All.1d","12.TR.All.1d"
