"axis","series","bin_unit","bin","variance","predicted","observed","fitted_predicted","lower","upper","unit","n_samples","probability","effective_sample_size","effective_size_type","effective_size_definition","uncertainty","scope","region","group"
"length","F11_R1","cm",87,20376.7585281427,151.486228920199,27,151.486228920199,0,431.26556837379,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",89,4253.60234872759,91.7524283151473,13,91.7524283151473,0,219.580587428251,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",91,1803.35374796779,57.7132836042914,0,57.7132836042914,0,140.944943217462,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",93,871.887544544452,38.5288855516096,0,38.5288855516096,0,96.402196314375,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",95,388.583229110725,25.1858003782092,0,25.1858003782092,0,63.8216189024905,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",97,180.70384458144,17.1338763160047,0,17.1338763160047,0,43.4809136769816,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",99,67.5323646309017,10.544175240262,0,10.544175240262,0,26.6507825116183,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",101,21.0910942053232,5.93173463334684,0,5.93173463334684,0,14.9328773315341,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",103,5.77643965786859,3.12005289255035,0,3.12005289255035,0,7.83067440949762,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",105,1.12579996081178,1.40289150007048,0,1.40289150007048,0,3.48248621774928,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",107,0.272190628147379,0.670639548573617,0,0.670639548573617,0,1.69318983555564,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",109,0.0659848205370431,0.324522038085588,0,0.324522038085588,0,0.827987996104542,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",111,0.0110887535131527,0.131937645721782,0,0.131937645721782,0,0.338328028234155,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",113,0.00170488944974425,0.0513589048111243,0,0.0513589048111243,0,0.132286419384528,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",115,0.000259505828593111,0.0193968124597822,0,0.0193968124597822,0,0.0509702341031604,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",117,2.07828765808661e-05,0.00525249868547581,0,0.00525249868547581,0,0.0141876296056675,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",119,5.45093835991753e-07,0.000785548629937661,0,0.000785548629937661,0,0.00223259925945154,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",121,0,0,0,0,0,0,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",123,0,0,0,0,0,0,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",125,0,0,0,0,0,0,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",127,0,0,0,0,0,0,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",129,0,0,0,0,0,0,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F12_R1","cm",31,,0,0,0,,,"count",27,0.95,406.783783783784,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F12_R1","cm",33,,0,4,0,,,"count",27,0.95,406.783783783784,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
